,CATEGORY,SECTION,REGION,NAME,SCORE,SCORE_REVIEW,REVIEW,LINK,ADDRESS,lat,lng,IMG
46,FOOD,A,제주시,좋아좋아숯불갈비,3.5,10건,13,https://place.map.kakao.com/30164812,"
제주특별자치도 제주시 북성로 12
(지번) 삼도2동 14-1
",33.5158908,126.5234944,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F77A2DFED91B04FB3B34B6489EFB899A9
47,FOOD,A,제주시,유메,4.6,22건,41,https://place.map.kakao.com/506397920,"
제주특별자치도 제주시 무근성7길 23
(지번) 삼도이동 1098-5
",33.5148093,126.5206584,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB8C3E24CEA0348D7BD05D8A6A2504766
48,FOOD,A,제주시,무조리실 닐키친,4.0,23건,12,https://place.map.kakao.com/1968718587,"
제주특별자치도 제주시 관덕로6길 14 1층
(지번) 삼도이동 971-2
",33.51190920000001,126.5218798,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_801539918
49,FOOD,A,제주시,말고기연구소,5.0,21건,35,https://place.map.kakao.com/1597639792,"
제주특별자치도 제주시 북성로 43 1층
(지번) 삼도이동 1116-4
",33.5155142,126.5202708,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_816689404
50,FOOD,A,제주시,자양삼계탕,4.5,18건,103,https://place.map.kakao.com/9412840,"
제주특별자치도 제주시 관덕로6길 17 1층
(지번) 삼도이동 108-16
",33.5115545,126.5222259,0
51,FOOD,A,제주시,참좋은해물라면 동문점,3.6,9건,9,https://place.map.kakao.com/158057314,"
제주특별자치도 제주시 중앙로14길 12 1층
(지번) 삼도이동 110-2
",33.5114638,126.5232392,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8D14DF60232E4453BDE2EF8AA2E9D473
52,FOOD,A,제주시,이서림,4.7,6건,8,https://place.map.kakao.com/10760929,"
제주특별자치도 제주시 중앙로24길 4
(지번) 삼도이동 1234-4
",33.50668539999999,126.5244471,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1B190DB5021B42F3AEBFD2F59038A9D7
53,FOOD,A,제주시,미화식탁,5.0,5건,13,https://place.map.kakao.com/472476478,"
제주특별자치도 제주시 전농로 75-1 1층
(지번) 삼도이동 594-19
",33.5045301,126.5213746,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3C49C40CE7504891A9DA96224CA34DEB
54,FOOD,A,제주시,20년전통부대찌개,3.6,5건,6,https://place.map.kakao.com/10761819,"
제주특별자치도 제주시 중앙로14길 35
(지번) 삼도이동 819-23
",33.5106084,126.5208407,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5002374A1E5343AF8D3764073F40FD38
55,FOOD,A,제주시,소은,4.9,8건,24,https://place.map.kakao.com/1133717458,"
제주특별자치도 제주시 전농로 73-2
(지번) 삼도이동 594-21
",33.5045386,126.521254,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6D64EF682BA649EF997762D30B728BA8
